date,open,high,low,close,year,month,day,day_name,price_change,price_range,pct_gain_loss,ma_7,ma_30,volatility,risk_level,volume_per_million,market_trend
2018-05-21,327.11,331.88,325.45,331.82,2018,5,21,Monday,4.71,6.43,2.0,327.22,319.77,0.01,Low Risk,6.66,Bullish
2018-05-22,334.05,336.63,331.15,331.62,2018,5,22,Tuesday,-2.43,5.48,-0.0,327.96,320.89,0.01,Low Risk,5.96,Bearish
2018-05-23,329.04,345.0,328.09,344.72,2018,5,23,Wednesday,15.68,16.91,4.0,330.27,322.26,0.02,Low Risk,10.05,Bullish
2018-05-24,344.34,354.0,341.12,349.29,2018,5,24,Thursday,4.95,12.88,1.0,333.58,323.59,0.02,Low Risk,14.76,Bullish
2018-05-25,349.9,354.36,348.83,351.29,2018,5,25,Friday,1.39,5.53,1.0,336.88,324.91,0.02,Low Risk,7.82,Bullish
2018-05-29,351.5,356.1,346.71,349.73,2018,5,29,Tuesday,-1.77,9.39,-0.0,340.38,326.31,0.02,Low Risk,9.72,Bearish
2018-05-30,352.37,354.0,349.26,353.54,2018,5,30,Wednesday,1.17,4.74,1.0,344.57,326.9,0.02,Low Risk,5.69,Bullish
2018-05-31,353.8,355.53,350.21,351.6,2018,5,31,Thursday,-2.2,5.32,-1.0,347.4,327.47,0.02,Low Risk,6.92,Bearish
2018-06-01,353.88,359.99,352.82,359.93,2018,6,1,Friday,6.05,7.17,2.0,351.44,328.37,0.02,Low Risk,7.11,Bullish
2018-06-04,362.68,363.0,355.51,361.81,2018,6,4,Monday,-0.87,7.49,1.0,353.88,329.51,0.01,Low Risk,7.68,Bearish
2018-06-05,363.32,369.83,361.41,365.8,2018,6,5,Tuesday,2.48,8.42,1.0,356.24,331.08,0.01,Low Risk,8.36,Bullish
2018-06-06,367.78,369.68,363.33,367.45,2018,6,6,Wednesday,-0.33,6.35,0.0,358.55,333.09,0.01,Low Risk,7.71,Bearish
2018-06-07,368.54,368.7,357.8,361.4,2018,6,7,Thursday,-7.14,10.9,-2.0,360.22,334.95,0.01,Low Risk,8.28,Bearish
2018-06-08,358.06,362.39,356.25,360.57,2018,6,8,Friday,2.51,6.14,-0.0,361.22,336.5,0.01,Low Risk,5.23,Bullish
2018-06-11,361.88,365.67,360.91,361.45,2018,6,11,Monday,-0.43,4.76,0.0,362.63,338.16,0.01,Low Risk,4.43,Bearish
2018-06-12,363.6,365.98,362.0,363.83,2018,6,12,Tuesday,0.23,3.98,1.0,363.19,339.87,0.01,Low Risk,4.29,Bullish
2018-06-13,367.53,384.25,364.11,379.93,2018,6,13,Wednesday,12.4,20.14,4.0,365.78,342.09,0.02,Low Risk,18.22,Bullish
2018-06-14,384.27,395.03,383.25,392.87,2018,6,14,Thursday,8.6,11.78,3.0,369.64,344.74,0.02,Low Risk,14.6,Bullish
2018-06-15,390.71,398.86,387.51,391.98,2018,6,15,Friday,1.27,11.35,-0.0,373.15,347.42,0.02,Low Risk,13.59,Bullish
2018-06-18,387.72,393.16,386.5,390.4,2018,6,18,Monday,2.68,6.66,-0.0,377.29,349.76,0.02,Low Risk,6.82,Bullish
2018-06-19,389.5,405.29,388.5,404.98,2018,6,19,Tuesday,15.48,16.79,4.0,383.63,352.38,0.02,Low Risk,16.7,Bullish
2018-06-20,415.15,419.47,409.6,416.76,2018,6,20,Wednesday,1.61,9.87,3.0,391.54,355.38,0.02,Low Risk,16.49,Bullish
2018-06-21,421.38,423.21,406.37,415.44,2018,6,21,Thursday,-5.94,16.84,-0.0,398.91,358.22,0.02,Low Risk,18.39,Bearish
2018-06-22,419.98,420.5,409.65,411.09,2018,6,22,Friday,-8.89,10.85,-1.0,403.36,360.93,0.02,Low Risk,10.43,Bearish
2018-06-25,404.69,405.99,378.75,384.48,2018,6,25,Monday,-20.21,27.24,-6.0,402.16,362.87,0.03,High Risk,22.49,Bearish
2018-06-26,393.28,404.78,389.05,399.39,2018,6,26,Tuesday,6.11,15.73,4.0,403.22,365.23,0.04,High Risk,15.19,Bullish
2018-06-27,407.56,411.59,390.0,390.39,2018,6,27,Wednesday,-17.17,21.59,-2.0,403.22,367.37,0.04,High Risk,16.54,Bearish
2018-06-28,395.0,396.9,387.1,395.42,2018,6,28,Thursday,0.42,9.8,1.0,401.85,369.61,0.03,High Risk,12.22,Bullish
2018-06-29,399.19,401.33,390.55,391.43,2018,6,29,Friday,-7.76,10.78,-1.0,398.23,371.82,0.03,High Risk,9.25,Bearish
2018-07-02,385.45,398.38,380.0,398.18,2018,7,2,Monday,12.73,18.38,2.0,395.77,374.29,0.03,High Risk,8.14,Bullish
2018-07-03,399.49,399.98,389.5,390.52,2018,7,3,Tuesday,-8.97,10.48,-2.0,392.83,376.24,0.03,High Risk,5.28,Bearish
2018-07-05,393.8,399.24,390.86,398.39,2018,7,5,Thursday,4.59,8.38,2.0,394.82,378.47,0.02,Low Risk,8.45,Bullish
2018-07-06,397.45,408.65,395.52,408.25,2018,7,6,Friday,10.8,13.13,2.0,396.08,380.59,0.02,Low Risk,8.63,Bullish
2018-07-09,415.95,419.12,411.1,418.97,2018,7,9,Monday,3.02,8.02,3.0,400.17,382.91,0.02,Low Risk,11.13,Bullish
2018-07-10,417.24,419.44,413.08,415.63,2018,7,10,Tuesday,-1.61,6.36,-1.0,403.05,385.05,0.02,Low Risk,9.38,Bearish
2018-07-11,411.34,419.77,410.6,418.65,2018,7,11,Wednesday,7.31,9.17,1.0,406.94,387.35,0.02,Low Risk,9.71,Bullish
2018-07-12,415.16,416.79,407.8,413.5,2018,7,12,Thursday,-1.66,8.99,-1.0,409.13,389.35,0.02,Low Risk,12.74,Bearish
2018-07-13,409.19,410.0,395.08,395.8,2018,7,13,Friday,-13.39,14.92,-4.0,409.88,390.82,0.03,High Risk,15.72,Bearish
2018-07-16,398.98,403.36,391.75,400.48,2018,7,16,Monday,1.5,11.61,1.0,410.18,392.17,0.02,High Risk,22.96,Bullish
2018-07-17,346.95,385.0,344.0,379.48,2018,7,17,Tuesday,32.53,41.0,-5.0,406.07,392.76,0.03,High Risk,58.41,Bullish
2018-07-18,381.24,383.13,372.36,375.13,2018,7,18,Wednesday,-6.11,10.77,-1.0,399.81,393.07,0.02,High Risk,21.75,Bearish
2018-07-19,371.06,375.75,363.0,364.23,2018,7,19,Thursday,-6.83,12.75,-3.0,392.47,392.97,0.02,High Risk,16.88,Bearish
2018-07-20,364.92,370.5,360.14,361.05,2018,7,20,Friday,-3.87,10.36,-1.0,384.24,392.96,0.02,Low Risk,15.1,Bearish
2018-07-23,359.15,363.9,353.6,362.66,2018,7,23,Monday,3.51,10.3,0.0,376.98,393.03,0.02,High Risk,11.51,Bullish
2018-07-24,366.94,367.4,354.56,357.32,2018,7,24,Tuesday,-9.62,12.84,-1.0,371.48,392.89,0.02,Low Risk,12.85,Bearish
2018-07-25,357.57,363.28,355.65,362.87,2018,7,25,Wednesday,5.3,7.63,2.0,366.11,392.86,0.02,Low Risk,8.47,Bullish
2018-07-26,358.19,365.54,356.63,363.09,2018,7,26,Thursday,4.9,8.91,0.0,363.76,392.29,0.01,Low Risk,6.99,Bullish
2018-07-27,366.85,367.0,351.65,355.21,2018,7,27,Friday,-11.64,15.35,-2.0,360.92,391.04,0.02,Low Risk,8.95,Bearish
2018-07-30,351.93,352.03,334.02,334.96,2018,7,30,Monday,-16.97,18.01,-6.0,356.74,389.14,0.02,High Risk,18.26,Bearish
2018-07-31,331.51,342.5,328.0,337.45,2018,7,31,Tuesday,5.94,14.5,1.0,353.37,387.37,0.02,High Risk,14.09,Bullish
2018-08-01,335.87,344.41,334.02,338.38,2018,8,1,Wednesday,2.51,10.39,0.0,349.9,385.15,0.02,High Risk,7.79,Bullish
2018-08-02,337.23,345.0,334.71,344.5,2018,8,2,Thursday,7.27,10.29,2.0,348.07,382.74,0.03,High Risk,7.13,Bullish
2018-08-03,347.75,347.86,338.48,343.09,2018,8,3,Friday,-4.66,9.38,-0.0,345.24,380.33,0.02,High Risk,8.85,Bearish
2018-08-06,342.87,351.98,341.74,350.92,2018,8,6,Monday,8.05,10.24,2.0,343.5,378.33,0.03,High Risk,8.2,Bullish
2018-08-07,353.23,357.31,349.01,351.83,2018,8,7,Tuesday,-1.4,8.3,0.0,343.02,377.24,0.03,High Risk,7.97,Bearish
2018-08-08,352.21,352.29,346.61,347.61,2018,8,8,Wednesday,-4.6,5.68,-1.0,344.83,375.51,0.01,Low Risk,5.39,Bearish
2018-08-09,347.96,352.44,345.82,349.36,2018,8,9,Thursday,1.4,6.62,1.0,346.53,374.15,0.01,Low Risk,4.82,Bullish
2018-08-10,346.91,349.1,344.42,345.87,2018,8,10,Friday,-1.04,4.68,-1.0,347.6,372.49,0.01,Low Risk,4.33,Bearish
2018-08-13,339.89,347.19,339.07,341.31,2018,8,13,Monday,1.42,8.12,-1.0,347.14,370.82,0.01,Low Risk,6.89,Bullish
2018-08-14,342.09,342.41,336.25,337.49,2018,8,14,Tuesday,-4.6,6.16,-1.0,346.34,368.8,0.01,Low Risk,5.81,Bearish
2018-08-15,334.03,335.5,321.0,326.4,2018,8,15,Wednesday,-7.63,14.5,-3.0,342.84,366.66,0.01,Low Risk,11.78,Bearish
2018-08-16,329.9,331.17,321.21,322.44,2018,8,16,Thursday,-7.46,9.96,-1.0,338.64,364.13,0.01,Low Risk,6.69,Bearish
2018-08-17,319.01,324.37,312.96,316.78,2018,8,17,Friday,-2.23,11.41,-2.0,334.24,361.08,0.01,Low Risk,10.41,Bearish
2018-08-20,314.64,331.6,310.93,327.73,2018,8,20,Monday,13.09,20.67,3.0,331.15,358.04,0.02,Low Risk,13.59,Bullish
2018-08-21,331.0,341.5,329.7,338.02,2018,8,21,Tuesday,7.02,11.8,3.0,330.02,355.45,0.03,High Risk,14.78,Bullish
2018-08-22,338.49,346.21,337.41,344.44,2018,8,22,Wednesday,5.95,8.8,2.0,330.47,352.98,0.03,High Risk,8.93,Bullish
2018-08-23,348.11,350.08,337.65,339.17,2018,8,23,Thursday,-8.94,12.43,-2.0,330.71,350.5,0.03,High Risk,11.34,Bearish
2018-08-24,346.0,359.15,344.54,358.82,2018,8,24,Friday,12.82,14.61,6.0,335.34,349.27,0.03,High Risk,14.73,Bullish
2018-08-27,367.15,374.49,360.0,364.58,2018,8,27,Monday,-2.57,14.49,2.0,341.36,348.07,0.03,High Risk,17.43,Bearish
2018-08-28,367.23,369.99,360.38,368.49,2018,8,28,Tuesday,1.26,9.61,1.0,348.75,347.71,0.02,Low Risk,9.22,Bullish
2018-08-29,367.2,369.86,362.91,368.04,2018,8,29,Wednesday,0.84,6.95,-0.0,354.51,347.47,0.02,High Risk,8.12,Bullish
2018-08-30,365.0,376.81,363.54,370.98,2018,8,30,Thursday,5.98,13.27,1.0,359.22,347.7,0.02,Low Risk,10.98,Bullish
2018-08-31,370.66,376.0,367.08,367.68,2018,8,31,Friday,-2.98,8.92,-1.0,362.54,347.92,0.02,High Risk,7.94,Bearish
2018-09-04,366.47,368.88,361.26,363.6,2018,9,4,Tuesday,-2.87,7.62,-1.0,366.03,347.95,0.02,High Risk,7.61,Bearish
